report_id,date,house,region,application,metric,fy,value,value_prev,unit,basis,source_page,series_class,series_label,scope_note
2023-07-06_대신증권_산업,2023-07-06,대신증권,유럽,EV,수요량,2024,213,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,유럽,EV,수요량,2025,283,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,유럽,EV,수요량,2026,429,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,유럽,EV,수요량,2027,539,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,유럽,EV,수요량,2028,720,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,유럽,EV,수요량,2029,939,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,유럽,EV,수요량,2030,1169,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,북미,EV,실적치,2021,40,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,북미,EV,실적치,2022,65,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,북미,EV,수요량,2023,118,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,북미,EV,수요량,2024,212,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
